id,folder_template_id,name,level,order,parent_id,description
1,1,01 REVIT,1,1,,REVIT models and architectural files
4,1,Sales Info,2,1,3,
7,1,"Final Inspection Form 16, Form 11 or 21",2,1,6,
14,1,Energex Connection,2,1,13,
19,1,01 SITE,2,1,18,Site preparation and initial photos
29,1,Invoices PDF,2,1,28,
2,1,02 Land Info,1,2,,"Land information, surveys, and site documentation"
15,1,Estimation,2,2,13,
8,1,Final Send For Inc Certificates,2,2,6,
20,1,02 SLAB,2,2,18,Foundation and slab photos
5,1,Sent,2,2,3,
16,1,Quotes,2,3,13,
9,1,SDA Plan Approved,2,3,6,
3,1,03 Contract,1,3,,Contract documents and sales information
21,1,03 FRAME,2,3,18,Framing stage photos
6,1,04 Certification,1,4,,"Certification, approvals, and inspection documentation"
10,1,Send SDA Approval,2,4,6,
22,1,04 ENCLOSED,2,4,18,Lock-up/enclosed stage photos
13,1,05 Estimation,1,5,,"Cost estimation, quotes, and utility connections"
11,1,Start Approved Plan And Approval,2,5,6,
23,1,05 FIXING,2,5,18,Fixing and finishing stage photos
24,1,06 Practical Completion,2,6,18,Practical completion photos
17,1,06 Colour Selection,1,6,,Color selections and finish specifications
12,1,Start To Send For Certification,2,6,6,
18,1,07 Photos,1,7,,Construction progress photos organized by stage
25,1,07 Supervisor Photos,2,7,18,Supervisor inspection photos
26,1,08 SITE,1,8,,Site management documents and logs
27,1,09 Handover,1,9,,Handover documentation and client materials
28,1,10 Finance,1,10,,Financial documents and invoices
